Vehicle Name,URL,Wheel Base,Ground Clearance,Overall Width,Overall Height,Overall Length
EKA K1.5,https://trucksfloor.com/en/eka-truck/k1-5,2900 mm,200 mm,1600 mm,1850 mm,4610 mm
Blue Energy 5528 Plus 4x2,https://trucksfloor.com/en/blue-energy-motors-truck/5528-plus-4x2,4200 mm,313 mm,2550 mm,3015 mm,6550 mm
Evage Motors FR8,https://trucksfloor.com/en/evage-motors-truck/fr8,2700 mm,160 mm,1737 mm,1219 mm,3810 mm
Jupiter EV Star CC,https://trucksfloor.com/en/jupiter-electric-mobility-truck/ev-star-cc,4320 mm,180 mm,1980 mm,2360 mm,7190 mm
Toyota Hilux,https://trucksfloor.com/en/toyota-truck/hilux,3085 mm,,1855 mm,1815 mm,5300 mm
Kamaz 3123 8x4,https://trucksfloor.com/en/kamaz-truck/3123-8x4,5360 mm,270 / 285 mm,2580 mm,3450 mm,8940 mm
Kamaz 6460 6x4,https://trucksfloor.com/en/kamaz-truck/6460-6x4,3735 mm,310 mm,2500 mm,3250 mm,6580 mm
Kamaz 6520 6x4,https://trucksfloor.com/en/kamaz-truck/6520-6x4,4300 mm,305 mm,2600 mm,3442 mm,8085 mm
Kamaz 6540 8x4,https://trucksfloor.com/en/kamaz-truck/6540-8x4,3640 mm,300 mm,2600 mm,3328 mm,7290 mm
Scania G410,https://trucksfloor.com/en/scania-truck/g-410,3950 mm,260 mm,2550 mm,3104 mm,6911 mm
Scania G460 Puller,https://trucksfloor.com/en/scania-truck/g-460-puller,4023 mm,300 mm,2550 mm,3392 mm,7365 mm
Scania G500 6x4 Heavy Puller,https://trucksfloor.com/en/scania-truck/g-500-6x4-heavy-puller,4425 mm,,2600 mm,3518 mm,7498 mm
EKA 2.5 T,https://trucksfloor.com/en/eka-truck/2-5-t,2900 mm,,1600 mm,1850 mm,4610 mm
Omega M1KA 3.0,https://trucksfloor.com/en/omega-truck/m1ka-3-0,3360 mm,175 mm,2160 mm,2270 mm,6040 mm
Eka 7T,https://trucksfloor.com/en/eka-truck/7t,3320 mm,260 mm,2110 mm,2480 mm,6210 mm
Sany SKT105S,https://trucksfloor.com/en/sany-truck/skt105s,,,4000 mm,4100 mm,9200 mm
Sany SKT90S,https://trucksfloor.com/en/sany-truck/skt90s,,,3568 mm,4386 mm,9026 mm
Sany SKT105E,https://trucksfloor.com/en/sany-truck/skt105e,,,3960 mm,4250 mm,9550 mm
