Vehicle Name,URL,Wheel Base,Ground Clearance,Overall Width,Overall Height,Overall Length
Bharat Benz 1217RE,https://trucksfloor.com/en/bharat-benz-truck/mdt-1217re,3360 / 3760 / 4250 / 4800 / 5050 mm,245 mm,2420 mm,2500 mm,6380 mm
Mahindra Jeeto L,https://trucksfloor.com/en/mahindra-truck/jeeto-l,2375 mm,165 mm,1498 mm,1750 mm,3431 mm
Maruti Suzuki EECO Cargo Petrol,https://trucksfloor.com/en/maruti-suzuki-truck/eeco-cargo-petrol,2350 mm,,1475 mm,1825 mm,3675 mm
Mahindra Veero XL,https://trucksfloor.com/en/mahindra-truck/veero-xl,2550 mm,,1746 mm,2040 mm,4710 mm
Bharat Benz 1617RD,https://trucksfloor.com/en/bharat-benz-truck/mdt-1617rd,3760 / 4250 / 4800 / 5050 / 6800 / 4250 mm,240 mm,2360 mm,2520 mm,7020 mm
Bharat Benz 1917R,https://trucksfloor.com/en/bharat-benz-truck/mdt-1917r,5100 / 5900 / 5900 / 6700 mm,275 mm,2457 mm,2600 mm,8600 mm
Eicher pro 6046,https://trucksfloor.com/en/eicher-truck/hdt-pro-6046,3200 mm,220 mm,2560 mm,2915 mm,5455 mm
Eicher pro 6042,https://trucksfloor.com/en/eicher-truck/hdt-pro-6042,6800 mm,235 mm,2510 mm,2940 mm,7647 mm
Mahindra Supro Profit Mini,https://trucksfloor.com/en/mahindra-truck/supro-profit-mini,1950 mm,160 / 170 mm,1540 mm,1915 mm,3927 mm
Mahindra Supro Profit CNG Duo,https://trucksfloor.com/en/mahindra-truck/supro-profit-cng-duo,1950 mm,158 mm,1540 mm,1900 mm,3927 mm
Mahindra Supro Profit Maxi,https://trucksfloor.com/en/mahindra-truck/supro-profit-maxi,2050 mm,208 mm,1540 mm,1900 mm,4148 mm
Mahindra Supro Profit Excel,https://trucksfloor.com/en/mahindra-truck/supro-profit-excel,2050 mm,208 mm,1540 mm,1900 mm,4148 mm
Maruti Suzuki EECO Cargo CNG,https://trucksfloor.com/en/maruti-suzuki-truck/eeco-cargo-cng,2350 mm,,1475 mm,1825 mm,3675 mm
Maruti Suzuki EECO Cargo AC,https://trucksfloor.com/en/maruti-suzuki-truck/eeco-cargo-cng-ac,2350 mm,,1475 mm,1825 mm,3675 mm
Maruti Suzuki Super Carry Petrol Chassis,https://trucksfloor.com/en/maruti-suzuki-truck/super-carry-petrol-chassis,2110 mm,160 mm,1562 mm,1883 mm,3800 mm
SML ISUZU Sartaj 5252 Diesel,https://trucksfloor.com/en/sml-isuzu-truck/sartaj-5252-diesel,2515 mm,190 mm,1975 mm,580 mm,4489 mm
Mahindra Bolero MaXX Pik-up City,https://trucksfloor.com/en/mahindra-truck/bolero-maxx-pik-up-city,3150 mm,185 mm,1755 mm,1873 / 1880 mm,4940 mm
Mahindra Bolero MaXX Pik-up HD,https://trucksfloor.com/en/mahindra-truck/bolero-maxx-pik-up-hd,3290 mm,200 mm,1800 mm,1950 / 1895 mm,5060 mm
Mahindra Jeeto Plus,https://trucksfloor.com/en/mahindra-truck/jeeto-plus,2500 / 2375 mm,165 mm,1498 mm,1750 mm,3876 mm
Mahindra Jeeto Strong,https://trucksfloor.com/en/mahindra-truck/jeeto-strong,2500 mm,165 / 180 mm,1498 mm,1750 mm,3876 mm
Mahindra Jeeto X,https://trucksfloor.com/en/mahindra-truck/jeeto-x,2500 mm,165 mm,1498 mm,1750 mm,3581 mm
Mahindra Jeeto S,https://trucksfloor.com/en/mahindra-truck/jeeto-s,2250 mm,165 mm,1498 mm,1750 mm,3281 mm
Bharat Benz 1117R,https://trucksfloor.com/en/bharat-benz-truck/mdt-1117r,3360 / 3760 / 4250 / 4800 mm,205 mm,2205 mm,2420 mm,6380 mm
Bharat Benz 1417R,https://trucksfloor.com/en/bharat-benz-truck/mdt-1417r,3360 / 3760 / 4250 / 4800 / 5050 mm,220 mm,2240 mm,2475 mm,6380 mm
Bharat Benz 1417RE,https://trucksfloor.com/en/bharat-benz-truck/mdt-1417re,3360 / 3760 / 4250 / 4800 / 5050 mm,220 mm,2240 mm,2475 mm,6380 mm
Eicher pro 8028XM,https://trucksfloor.com/en/eicher-truck/hdt-pro-8028xm,4585 mm,289 mm,2590 mm,3790 mm,8430 mm
Eicher pro 8035XM,https://trucksfloor.com/en/eicher-truck/hdt-pro-8035xm,5285 mm,308 mm,2580 mm,3752 mm,9090 mm
Eicher pro 8035XM AMT,https://trucksfloor.com/en/eicher-truck/hdt-pro-8035xm-amt,5285 mm,308 mm,2580 mm,3752 mm,9090 mm
Eicher pro 8028XC,https://trucksfloor.com/en/eicher-truck/hdt-pro-8028xc,4585 mm,308 mm,2580 mm,3752 mm,9090 mm
Eicher pro 6028,https://trucksfloor.com/en/eicher-truck/hdt-pro-6028,5350 / 6800 mm,220 mm,2481 mm,2960 mm,11880 mm
Eicher pro 6055XP (4x2),https://trucksfloor.com/en/eicher-truck/hdt-pro-6055xp-4x2,3200 mm,220 mm,2560 mm,2915 mm,5455 mm
Eicher pro 8055,https://trucksfloor.com/en/eicher-truck/hdt-pro-8055,4085 mm,308 mm,2590 mm,3325 mm,7195 mm
Mahindra Bolero Pik Up ExtraLong,https://trucksfloor.com/en/mahindra-truck/bolero-pikup-extralong,3000 mm,175 mm,1700 mm,1865 mm,5215 mm
Mahindra Bolero Pik UP ExtraStrong,https://trucksfloor.com/en/mahindra-truck/bolero-pikup-extrastrong,2900 mm,175 mm,1700 mm,1865 mm,5219 mm
BharatBenz 2832CM TORQSHIFT,https://trucksfloor.com/en/bharat-benz-truck/hdt-c-2832cm-torqshift,4275 mm,349 mm,2490 mm,2995 mm,7185 mm
BharatBenz 3532CM TORQSHIFT,https://trucksfloor.com/en/bharat-benz-truck/hdt-c-3532cm-torqshift,5175 mm,359 mm,2490 mm,2960 mm,8085 mm
Eicher pro 6028T,https://trucksfloor.com/en/eicher-truck/hdt-pro-6028t,4000 / 4585 mm,220 mm,2481 mm,2960 mm,11880 mm
Maruti Suzuki Super Carry Petrol,https://trucksfloor.com/en/maruti-suzuki-truck/super-carry-petrol,2110 mm,160 mm,1562 mm,1883 mm,3800 mm
Maruti Suzuki Super Carry CNG Chassis,https://trucksfloor.com/en/maruti-suzuki-truck/super-carry-cng-chassis,2110 mm,175 mm,1562 mm,1883 mm,3800 mm
Mahindra Veero XXL,https://trucksfloor.com/en/mahindra-truck/veero-xxl,2700 mm,216 mm,1746 mm,2040 mm,4980 mm
Force Traveller 3350 MM WB,https://trucksfloor.com/en/force-truck/traveller-3350-mm-wb,3350 mm,200 mm,1900 mm,2550 mm,5615 mm
Bharat Benz 4832 R,https://trucksfloor.com/en/bharat-benz-truck/hdt-r-4832-r,6575 mm,180 mm,2490 mm,2985 mm,10990 mm
Force Traveller 3700 MM WB,https://trucksfloor.com/en/force-truck/traveller-3700-mm-wb,3700 mm,200 mm,1900 mm,2550 mm,6265 mm
Force Traveller 3050 MM WB,https://trucksfloor.com/en/force-truck/traveller-3050-mm-wb,3050 mm,200 mm,1900 mm,2550 mm,5135 mm
Bharat Benz 4232 R,https://trucksfloor.com/en/bharat-benz-truck/hdt-r-4232-r,6575 / 6775 mm,220 mm,2490 mm,2940 mm,9920 mm
